name,address,phone
HANAN TAHER TRUCKING,"123 Maple Street, Toronto, ON",416-555-1001
TRUCKING INC HANAN ATHER,"456 Oak Avenue, Vancouver, BC",604-555-1002
ATHER TRUCKING INC,"789 Pine Lane, Calgary, AB",403-555-1003
GODBOUT TRUCKING INC,"135 Elm Street, Ottawa, ON",613-555-1004
HANAN ATHER PHARMACY INC,"246 Cedar Avenue, Halifax, NS",902-555-1005
ATHER INC,"999 Birch Road, Montreal, QC",514-555-1006
TRANSPORT CANADA,"1600 Carling Ave, Ottawa, ON",613-555-2001
CANADA REVENUE AGENCY,"555 Albert Street, Regina, SK",306-555-2002
ENVIRONMENT AND CLIMATE CHANGE CANADA,"360 Main Street, Winnipeg, MB",204-555-2003
NAV CANADA,"100 Air Terminal Drive, Edmonton, AB",780-555-2004
