name,address,phone
Hanan Taher Trucking,"123 Maple St, Toronto, ON",416-555-1001
Trucking Inc by Hanan Ather,"456 Oak Ave, Vancouver, BC",604-555-1008
Ather Trucking Ltd.,"789 Pine Lane, Calgary, Alberta",403-555-1003
GodBout Hauling Inc.,"135 Elm St, Ottawa, ON",613-555-1009
Hanan Ather Pharmacy Co.,"246 Cedar Ave, Halifax, NS",902-555-1015
Ather Logistics,"999 Birch Rd, Montreal, Quebec",514-555-1006
Transport Canada Agency,"1600 Carling Avenue, Ottawa, ON",613-555-2001
CRA (Canada Revenue Agency),"555 Albert St, Regina, Saskatchewan",306-555-2092
Env. and Climate Change Canada,"360 Main St, Winnipeg, MB",204-555-2003
NavCanada Operations,"100 Air Terminal Dr, Edmonton, AB",780-555-2040
